"rank","seller_id","priority_score","late_delivery_rate","late_rate_norm","score_late_component","canceled_or_unavailable_rate","canceled_rate_norm","score_cancel_component","median_delivery_delay_days","positive_delay_norm","score_delay_component","seller_order_count","volume_exposure_norm","score_volume_component"
43,"4869f7a5dfa277a7dca6462dcf3b52b2",0.259515991337586,0.115658362989324,0.308422301304864,0.123368920521945,0.00088339222614841,0.0106007067137809,0.00265017667844523,0,0,0,1132,0.889979294247972,0.133496894137196
44,"855668e0971d4dfd7bef1b6a4133b41b",0.258999604321784,0.14,0.373333333333333,0.149333333333333,0.00641025641025641,0.0769230769230769,0.0192307692307692,0,0,0,312,0.60290334505121,0.0904355017576815
45,"620c87c171fb2a6dd6e8bb4dec959fc6",0.25808675410078,0.0997229916897507,0.265927977839335,0.106371191135734,0.0108108108108108,0.12972972972973,0.0324324324324324,0,0,0,740,0.795220870217423,0.119283130532613
46,"1f50f920176fa81dab994f9023523100",0.255678652613899,0.105789849892781,0.282106266380748,0.112842506552299,0.000712250712250712,0.00854700854700855,0.00213675213675214,0,0,0,1404,0.937995959498983,0.140699393924847
47,"75d34ebb1bd0bd7dde40dd507b8169c3",0.253582869534815,0.157894736842105,0.421052631578947,0.168421052631579,0.0161290322580645,0.193548387096774,0.0483870967741935,0,0,0,62,0.245164800860281,0.0367747201290422
48,"2089a6d640999f9b9141ac719b2af596",0.249791097351603,0.146341463414634,0.390243902439024,0.15609756097561,0.0227272727272727,0.272727272727273,0.0681818181818182,0,0,0,44,0.170078121294499,0.0255117181941748
49,"f5a590cf36251cf1162ea35bef76fe84",0.247978608601173,0.106194690265487,0.283185840707965,0.113274336283186,0.0256410256410256,0.307692307692308,0.0769230769230769,0,0,0,117,0.385207969299401,0.0577811953949101
50,"e2aee0892199b1d92530e371abd825bf",0.247817106772458,0.138888888888889,0.37037037037037,0.148148148148148,0.0263157894736842,0.315789473684211,0.0789473684210526,0,0,0,38,0.138143934688379,0.0207215902032569
51,"ea8482cd71df3c1969d7b9473ff13abc",0.247715416881525,0.104240282685512,0.277974087161366,0.111189634864547,0.00087260034904014,0.0104712041884817,0.00261780104712042,0,0,0,1146,0.892719873132389,0.133907980969858
52,"f7ba60f8c3f99e7ee4042fdef03b70c4",0.244994313963514,0.155963302752294,0.415902140672783,0.166360856269113,0,0,0,0,0,0,219,0.524223051296005,0.0786334576944007
53,"99a54764c341d5dc80b4a8fac4eba3fb",0.244429253745681,0.204545454545455,0.545454545454546,0.218181818181818,0,0,0,0,0,0,45,0.174982903759082,0.0262474355638624
54,"7e1fb0a3ebfb01ffb3a7dae98bf3238d",0.243343861138224,0.129032258064516,0.344086021505376,0.137634408602151,0.0125786163522013,0.150943396226415,0.0377358490566038,0,0,0,159,0.4531573565298,0.06797360347947
55,"8444e55c1f13cd5c179851e5ca5ebd00",0.243018137977727,0.0652173913043478,0.173913043478261,0.0695652173913043,0.0404040404040404,0.484848484848485,0.121212121212121,0,0,0,99,0.348271995828678,0.0522407993743017
56,"994f04b3718c2bab35c2adfa8afecd2a",0.242267655701434,0.0851063829787234,0.226950354609929,0.0907801418439716,0.0408163265306122,0.489795918367347,0.122448979591837,0,0,0,49,0.193590228437505,0.0290385342656257
57,"c60b801f2d52c7f7f91de00870882a75",0.242005683912095,0.205128205128205,0.547008547008547,0.218803418803419,0,0,0,0,0,0,41,0.154681767391173,0.0232022651086759
58,"e5e33c0d8e7e002f398f5dc4cbbb338f",0.24102422987687,0.115384615384615,0.307692307692308,0.123076923076923,0.0357142857142857,0.428571428571429,0.107142857142857,0,0,0,28,0.0720296643806015,0.0108044496570902
59,"0bf0150d5b9d60d9cd2906003332f085",0.240372492065537,0.205128205128205,0.547008547008547,0.218803418803419,0,0,0,0,0,0,39,0.143793821747455,0.0215690732621182
